market_type,symbol,name,date,open,close,high,low,volume,market_cap,sector,exchange,country,currency,last_updated
stock,MSFT,MSFT Inc,08-03-2024,47536.20817743171,49741.830640201704,51230.74908681415,45530.2244971417,1560789.2088416903,1129874955353.6138,Finance,NASDAQ,US,usd,2024-08-03 23:00:00
stock,GOOGL,GOOGL Inc,2023-06-13,43310.14552728901,44186.00670200739,45750.35168540758,41189.2141231024,9699128.611767782,183670000382.91638,Retail,NASDAQ,Global,USD,2023-06-13 12:00:00
crypto,BTC,BTC Coin,13/08/2024,10624.832142807025,9948.72087971569,10722.264249378351,9602.625893481061,5248039.559890746,333814843116.16656,blockchain,COINBASE,US,$,2024-08-13 02:00:00
crypto,SOL,SOL Coin,08-15-2024,14568.544718500116,14894.45149823145,14998.335725320594,14052.9236013979,3664252.0710936235,175618282363.6357,Crypto,BINANCE,US,USDT,2024-08-15 22:00:00
crypto,SOL,SOL Coin,29/03/2024,39260.94631003675,36902.728007201345,40270.412843903185,36150.67729195225,465457.67678725725,185147643765.7292,blockchain,BINANCE,Global,USD,2024-03-29 19:00:00
stock,GOOGL,GOOGL Inc,2024-03-13,8534.500943127703,7792.087425151899,8939.414168758143,7778.697515006511,8084165.083816495,1826559107185.3008,Technology,NASDAQ,Global,USDT,2024-03-13 00:00:00
stock,TSLA,TSLA Inc,2023-10-27,4892.63 USD,5072.905748066181,5184.548353842046,4677.851920438645,4952273.92420259,920795169828.3783,TECHNOLOGY,NASDAQ,Global,$,2023-10-27 05:00:00
stock,AMZN,AMZN Inc,08-24-2023,45466.92689991832,43273.42031124052,46973.069513532784,41784.189516242805,5201160.143756931,112821678134.503,Artificial Intelligence,NYSE,US,$,2023-08-24 16:00:00
stock,AMZN,AMZN Inc,07-22-2023,9250.874231721096,10119.687898240996,10511.893010845839,9222.889847597311,8948378.676926062,1644663735236.4062,tech,Unknown,Global,usd,2023-07-22 22:00:00
stock,MSFT,MSFT Inc,2023-04-25,46094.49300880561,42300.847111357834,46546.17954288686,40281.46238746324,3253977.9773018803,1797720936645.1445,finance,NYSE,Global,USDT,2023-04-25 08:00:00
stock,AAPL,AAPL Inc,2024-06-25,13574.738098377056,14467.243216347111,14725.305073622967,13086.681813048312,5427418.1354993265,1172145096171.5513,tech,NASDAQ,US,usd,2024-06-25 09:00:00
stock,AMZN,AMZN Inc,22/05/2024,40111.82706789445,36698.716866521645,42091.11897471865,36280.800630199075,1987958.0996601898,431363432674.5403,AI,NASDAQ,Global,USD,2024-05-22 16:00:00
stock,,AMZN Inc,03/04/2024,40774.91680845716,42461.83500577816,44009.58411014746,40308.595179181764,741372.4726891696,26511130199.571175,TECHNOLOGY,NYSE,Global,USD,2024-04-03 21:00:00
crypto,SOL,SOL Coin,2024-05-08,5802.294285661234,6223.660872273629,6417.620680458535,5608.177957315129,636519.9445099504,146593962774.98767,blockchain,COINBASE,US,$,2024-05-08 21:00:00
stock,,MSFT Inc,2024-04-04,16265.914268117085,17012.865150572477,17555.199114867788,16174.184875127608,4722677.036694331,939837141929.83,TECHNOLOGY,NYSE,US,USD,2024-04-04 15:00:00
