market_type,symbol,name,date,open,close,high,low,volume,market_cap,sector,exchange,country,currency,last_updated,daily_change,daily_change_pct
stock,MSFT,MSFT Inc,2024-08-03,47536.21,49741.83,51230.75,45530.22,1560789.21,1129874955353.61,Finance,NASDAQ,US,USD,2024-08-03 23:00:00,2205.62,4.64
stock,GOOGL,GOOGL Inc,2023-06-13,43310.15,44186.01,45750.35,41189.21,9699128.61,183670000382.92,Retail,NASDAQ,Global,USD,2023-06-13 12:00:00,875.86,2.02
crypto,BTC,BTC Coin,2024-08-13,10624.83,9948.72,10722.26,9602.63,5248039.56,333814843116.17,Crypto,COINBASE,US,USD,2024-08-13 02:00:00,-676.11,-6.36
crypto,SOL,SOL Coin,2024-08-15,14568.54,14894.45,14998.34,14052.92,3664252.07,175618282363.64,Crypto,BINANCE,US,USD,2024-08-15 22:00:00,325.91,2.24
crypto,SOL,SOL Coin,2024-03-29,39260.95,36902.73,40270.41,36150.68,465457.68,185147643765.73,Crypto,BINANCE,Global,USD,2024-03-29 19:00:00,-2358.22,-6.01
stock,GOOGL,GOOGL Inc,2024-03-13,8534.5,7792.09,8939.41,7778.7,8084165.08,1826559107185.3,Technology,NASDAQ,Global,USD,2024-03-13 00:00:00,-742.41,-8.7
stock,TSLA,TSLA Inc,2023-10-27,4892.63,5072.91,5184.55,4677.85,4952273.92,920795169828.38,Technology,NASDAQ,Global,USD,2023-10-27 05:00:00,180.28,3.68
stock,AMZN,AMZN Inc,2023-08-24,45466.93,43273.42,46973.07,41784.19,5201160.14,112821678134.5,AI,NYSE,US,USD,2023-08-24 16:00:00,-2193.51,-4.82
stock,AMZN,AMZN Inc,2023-07-22,9250.87,10119.69,10511.89,9222.89,8948378.68,1644663735236.41,Technology,exchange_empty,Global,USD,2023-07-22 22:00:00,868.81,9.39
stock,MSFT,MSFT Inc,2023-04-25,46094.49,42300.85,46546.18,40281.46,3253977.98,1797720936645.14,Finance,NYSE,Global,USD,2023-04-25 08:00:00,-3793.65,-8.23
stock,AAPL,AAPL Inc,2024-06-25,13574.74,14467.24,14725.31,13086.68,5427418.14,1172145096171.55,Technology,NASDAQ,US,USD,2024-06-25 09:00:00,892.51,6.57
stock,AMZN,AMZN Inc,2024-05-22,40111.83,36698.72,42091.12,36280.8,1987958.1,431363432674.54,AI,NASDAQ,Global,USD,2024-05-22 16:00:00,-3413.11,-8.51
stock,AMZN,AMZN Inc,2024-04-03,40774.92,42461.84,44009.58,40308.6,741372.47,26511130199.57,Technology,NYSE,Global,USD,2024-04-03 21:00:00,1686.92,4.14
crypto,SOL,SOL Coin,2024-05-08,5802.29,6223.66,6417.62,5608.18,636519.94,146593962774.99,Crypto,COINBASE,US,USD,2024-05-08 21:00:00,421.37,7.26
stock,MSFT,MSFT Inc,2024-04-04,16265.91,17012.87,17555.2,16174.18,4722677.04,939837141929.83,Technology,NYSE,US,USD,2024-04-04 15:00:00,746.95,4.59
stock,AAPL,AAPL Inc,2023-01-24,35665.11,37525.29,38578.4,35256.68,4938462.17,367586795355.52,Retail,NYSE,Global,USD,2023-01-24 17:00:00,1860.19,5.22
stock,MSFT,MSFT Inc,2023-12-01,21382.78,19353.2,21498.13,18415.96,6364467.7,1572971159852.16,Automotive,NYSE,US,USD,2023-12-01 17:00:00,-2029.57,-9.49
stock,GOOGL,GOOGL Inc,2023-07-17,25433.45,27506.61,27849.47,24683.65,7555755.83,949924383418.22,Automotive,exchange_empty,Global,USD,2023-07-17 15:00:00,2073.16,8.15
stock,AAPL,AAPL Inc,2023-11-28,3858.23,3695.99,3889.33,3683.0,8081395.68,694106514819.95,AI,NASDAQ,US,USD,2023-11-28 13:00:00,-162.24,-4.2
crypto,BTC,BTC Coin,2023-03-02,43574.31,46220.78,46651.95,43340.23,5393883.08,255194483821.62,Crypto,COINBASE,US,USD,2023-03-02 14:00:00,2646.46,6.07
stock,MSFT,MSFT Inc,2023-11-27,44805.6,43174.71,45052.15,41508.03,4271650.78,2424246063940.55,Technology,NASDAQ,Global,USD,2023-11-27 17:00:00,-1630.89,-3.64
crypto,ADA,ADA Coin,2024-07-03,43037.92,38793.97,44137.0,37663.92,2221856.0,328115832539.38,Crypto,COINBASE,US,USD,2024-07-03 05:00:00,-4243.95,-9.86
